pathogen,PathogenID,PathogenTaxID,PathogenType,Host,HostID,HostTaxID
cyclodontostomum purvisi,3777218,321341,helminth,abeomelomys sevia,3930641,491870
andes virus,3471595,46607,virus,abrothrix longipilis,3443351,29094
andes virus,3471595,46607,virus,abrothrix olivaceus,3443356,29098
bat polyomavirus 5b,26205236,1623684,virus,acerodon celebensis,3491718,58057
bat polyomavirus 6a,26205240,1623685,virus,acerodon celebensis,3491718,58057
hendra virus,3500937,63330,virus,acerodon celebensis,3491718,58057
nipah virus,3599170,121791,virus,acerodon celebensis,3491718,58057
alphacoronavirus 1,4073256,693997,virus,acinonyx jubatus,3448402,32536
babesia felis,3601242,124135,protozoa,acinonyx jubatus,3448402,32536
babesia lengau,4118755,796395,protozoa,acinonyx jubatus,3448402,32536
babesia leo,3601243,124136,protozoa,acinonyx jubatus,3448402,32536
bacillus anthracis,3420278,1392,bacteria,acinonyx jubatus,3448402,32536
bartonella henselae,3457197,38323,bacteria,acinonyx jubatus,3448402,32536
bartonella koehlerae,3551043,92181,bacteria,acinonyx jubatus,3448402,32536
bifidobacterium pseudolongum,3420768,1694,bacteria,acinonyx jubatus,3448402,32536
blastocystis hominis,3437968,12968,protozoa ,acinonyx jubatus,3448402,32536
candidatus helicobacter heilmannii,3452958,35817,bacteria,acinonyx jubatus,3448402,32536
canine distemper virus,3436134,11232,virus,acinonyx jubatus,3448402,32536
carnivore protoparvovirus 1,25911279,1511906,virus,acinonyx jubatus,3448402,32536
cheetah astrovirus 1,3958925,526120,virus,acinonyx jubatus,3448402,32536
cowpox virus,3434618,10243,virus,acinonyx jubatus,3448402,32536
cryptococcus gattii,25871197,37769,fungi,acinonyx jubatus,3448402,32536
cryptococcus gattii vgiii,3980744,552467,fungi,acinonyx jubatus,3448402,32536
cryptococcus neoformans,3426493,5207,fungi,acinonyx jubatus,3448402,32536
escherichia coli,3419013,562,bacteria,acinonyx jubatus,3448402,32536
felid herpesvirus 1,3434781,10334,virus,acinonyx jubatus,3448402,32536
feline calicivirus,3436990,11978,virus,acinonyx jubatus,3448402,32536
